days daily_dust_count daily_dust_std
2020/06/15 NaN NaN
2020/06/16 NaN NaN
2020/06/17 NaN NaN
2020/06/18 NaN NaN
2020/06/19 NaN NaN
2020/06/20 NaN NaN
2020/06/21 NaN NaN
2020/06/22 NaN NaN
2020/06/23 NaN NaN
2020/06/24 NaN NaN
2020/06/25 NaN NaN
2020/06/26 NaN NaN
2020/06/27 NaN NaN
2020/06/28 NaN NaN
2020/06/29 17 0.788810637746616
2020/06/30 17 1.28668393770792
2020/07/01 18 2.05750658160146
2020/07/02 7 1.63639169448448
2020/07/03 20 0.674948557710553
2020/07/04 10.5 1.3984117975602
2020/07/05 8 2.90784379834192
2020/07/06 15.5 0.948683298050514
2020/07/07 17 1.71593835683117
2020/07/08 18 1.08012344973464
2020/07/09 13 1.96920739836559
2020/07/10 15.5 5.70477382938574
2020/07/11 10 0.843274042711568
2020/07/12 13 0.707106781186548
2020/07/13 16 1.41813649241218
2020/07/14 6.5 1.26491106406735
2020/07/15 10 1.05934990547138
2020/07/16 10.5 1.91195071996
2020/07/17 3 0
2020/07/18 8 1.17378779077727
2020/07/19 4 0.823272602348565
2020/07/20 12 0.788810637746616
2020/07/21 19 1.47572957474524
2020/07/22 11 1.17378779077727
2020/07/23 10 1.44913767461894
2020/07/24 10 2.45175673979111
2020/07/25 7.5 66.2269666458544
2020/07/26 7 61.6373804331971
2020/07/27 NaN NaN
2020/07/28 NaN NaN
2020/07/29 NaN NaN
2020/07/30 NaN NaN
2020/07/31 NaN NaN
2020/08/01 NaN NaN
2020/08/02 NaN NaN
2020/08/03 NaN NaN
2020/08/04 NaN NaN
2020/08/05 NaN NaN
2020/08/06 NaN NaN
2020/08/07 NaN NaN
2020/08/08 NaN NaN
2020/08/09 NaN NaN
2020/08/10 NaN NaN
2020/08/11 NaN NaN
2020/08/12 NaN NaN
2020/08/13 NaN NaN
2020/08/14 NaN NaN
2020/08/15 NaN NaN
2020/08/16 NaN NaN
2020/08/17 NaN NaN
2020/08/18 NaN NaN
2020/08/19 6.5 1.82878222991269
2020/08/20 6 0.516397779494322
2020/08/21 4 0.316227766016838
2020/08/22 7.5 1.87379590967403
2020/08/23 7 0.483045891539648
2020/08/24 10 0.737864787372622
2020/08/25 6 0.674948557710553
2020/08/26 6 1.13529242439509
2020/08/27 8 0.966091783079296
2020/08/28 5 0.567646212197547
2020/08/29 5 1.26929551764398
2020/08/30 5 0.316227766016838
2020/08/31 8 2.25092573548455
2020/09/01 9 0.471404520791032
2020/09/02 6 0.737864787372622
2020/09/03 4 1.13529242439509
2020/09/04 4 0.674948557710553
2020/09/05 8 0
2020/09/06 4 0.516397779494322
2020/09/07 NaN NaN
2020/09/08 NaN NaN
2020/09/09 NaN NaN
2020/09/10 NaN NaN
2020/09/11 NaN NaN
2020/09/12 NaN NaN
2020/09/13 NaN NaN
2020/09/14 9 1.47572957474524
2020/09/15 6 0.516397779494322
2020/09/16 12 1.07496769977314
2020/09/17 8.5 0.699205898780101
2020/09/18 3 0.316227766016838
2020/09/19 9 1.79195734076208
2020/09/20 2 0.483045891539648
2020/09/21 5 0.737864787372622
2020/09/22 2 0.516397779494322
2020/09/23 4 0.516397779494322
2020/09/24 13 0.316227766016838
2020/09/25 1 0.316227766016838
2020/09/26 2.5 0.52704627669473
2020/09/27 8 0.316227766016838
2020/09/28 7 0.421637021355784
2020/09/29 3 0.421637021355784
2020/09/30 3 0.632455532033676
2020/10/01 6 0.316227766016838
2020/10/02 7 0.471404520791032
2020/10/03 12 0.632455532033676
2020/10/04 6 0.516397779494322
2020/10/05 5 0.516397779494322
2020/10/06 3 0.316227766016838
2020/10/07 7 0.421637021355784
2020/10/08 6 0.471404520791032
2020/10/09 5 0.516397779494322
2020/10/10 3.5 0.948683298050514
2020/10/11 7 0.674948557710553
2020/10/12 6 1.05934990547138
2020/10/13 5 0.316227766016838
2020/10/14 2 0
2020/10/15 7.5 1.15470053837925
2020/10/16 5 0.567646212197547
2020/10/17 9.5 0.52704627669473
2020/10/18 6 0
2020/10/19 6 0.97182531580755
