Julian date,Fluxes [/day],Radial velocity [km/s],Tangential velocity [km/s],Radial distance [au],Detection time [hours]
2459029.417,14,7.893131543,44.78670476,0.541812876,1.496425994
2459030.417,16,8.301734036,44.42685332,0.546490754,1.497797555
2459031.417,11,8.684953745,44.05504069,0.551397293,1.49142587
2459032.417,13,9.042814459,43.67310815,0.556517832,1.498092702
2459033.417,18,9.375507457,43.28281598,0.561837772,1.498092702
2459034.417,11,9.683370222,42.88583179,0.567342668,1.498092702
2459035.417,5,9.966866007,42.48372217,0.573018309,0.890855423
2459036.417,11,10.22656498,42.07794736,0.57885078,0.940301093
2459037.417,15,10.46312493,41.66985793,0.584826525,1.498370486
2459038.417,13,10.67727487,41.26069425,0.590932386,1.4908703
2459039.417,8,10.86979838,40.8515872,0.597155646,1.497814917
2459040.417,6,11.04151961,40.44356085,0.603484049,1.497814917
2459041.417,9,11.19329044,40.037536,0.609905827,1.496981563
2459042.417,10,11.32597901,39.63433507,0.616409708,1.498092702
2459043.417,9,11.4404605,39.23468628,0.622984922,1.496425994
2459044.417,9,11.53760662,38.83923294,0.629621208,1.497814917
2459045.417,10,11.61829849,38.44850936,0.636308811,1.491148085
2459046.417,13,11.68335446,38.06304282,0.643038459,1.253086627
2459047.417,6,11.73361841,37.68322942,0.649801368,1.49503707
2459048.417,14,11.76989926,37.30941672,0.65658923,1.497780194
2459049.417,8,11.79297724,36.94189764,0.663394197,1.497814917
2459050.417,12,11.80360507,36.58091165,0.670208862,1.4908703
2459051.417,9,11.80250546,36.2266511,0.677026244,1.493092578
2459052.417,8,11.79037037,35.87926564,0.683839772,1.481981191
2459053.417,9,11.76786049,35.53886698,0.690643265,1.493092578
2459054.417,10,11.73560514,35.20553305,0.697430913,1.493092578
2459055.417,7,11.69420253,34.87931186,0.704197262,1.493092578
2459056.417,6,11.64422038,34.56022497,0.710937195,1.492814793
2459080.417,5,8.900533794,28.86446034,0.855857007,0.883633021
2459081.417,4,8.750507196,28.69755917,0.860954241,1.493092578
2459082.417,3,8.599081378,28.53533647,0.865964419,1.493092578
2459083.417,5,8.446357311,28.3776922,0.870886761,1.493092578
2459084.417,4,8.292429477,28.22452882,0.875720546,1.493092578
2459085.417,5,8.137385657,28.07575128,0.880465104,1.49142587
2459086.417,5,7.981308077,27.93126735,0.885119814,1.493092578
2459087.417,3,7.824273495,27.7909871,0.889684102,1.4872591
2459088.417,5,7.666353475,27.65482329,0.894157436,1.493092578
2459089.417,3,7.50761476,27.52269128,0.898539324,1.493370362
2459090.417,5,7.348119597,27.39450897,0.902829311,1.493092578
2459091.417,0,7.187926107,27.27019687,0.907026978,1.493092578
2459092.417,2,7.027089272,27.14967793,0.911131937,1.494203716
2459093.417,5,6.865658676,27.03287754,0.915143831,1.494481501
2459094.417,4,6.703681025,26.91972385,0.919062331,1.488648023
2459095.417,1,6.5411999,26.8101472,0.922887133,1.494481501
2459096.417,6,6.378255893,26.70408035,0.92661796,1.494481501
2459097.417,6,6.21488677,26.60145844,0.930254554,1.494481501
2459098.417,1,6.051127517,26.50221914,0.93379668,1.489759162
2459106.417,3,4.730465143,25.82329107,0.958710448,1.444202476
2459107.417,3,4.564409789,25.75203742,0.961394576,1.493648147
2459108.417,8,4.398200992,25.68365821,0.963982753,1.487536884
2459109.417,9,4.231853502,25.6181133,0.966474896,1.493648147
